layer,campaign,contract,pair,group,arm,n,mean_cpu_per_req_ms,spread_pct
repeat,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,ba,target-a,3,0.147886,0.6725
repeat,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,ba,target-b,3,0.090245,1.3259
repeat,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,ab,target-a,3,0.092612,2.2403
repeat,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,ab,target-b,3,0.069629,1.7085
repeat,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,ba,target-a,3,0.093018,2.5643
repeat,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,ba,target-b,3,0.069323,2.5201
repeat,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,ab,target-a,3,0.070398,0.5359
repeat,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,ab,target-b,3,0.051012,1.5249
repeat,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,ba,target-a,3,0.070725,0.3165
repeat,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,ba,target-b,3,0.051019,1.2054
repeat,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,ab,target-a,3,0.146180,0.7369
repeat,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,ab,target-b,3,0.050657,1.4874
repeat,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,ba,target-a,3,0.146791,0.5039
repeat,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,ba,target-b,3,0.050747,1.5316
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,ab,target-a,3,0.240914,0.8255
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,ab,target-b,3,0.239401,0.3881
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,ba,target-a,3,0.241120,0.7065
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,ba,target-b,3,0.239498,0.6665
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,ab,target-a,3,0.071703,0.6746
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,ab,target-b,3,0.069173,2.5352
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,ba,target-a,3,0.071455,0.6931
repeat,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,ba,target-b,3,0.068869,0.9476
repeat,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,ab,target-a,3,0.240847,0.1759
repeat,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,ab,target-b,3,0.246658,0.6117
repeat,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,ba,target-a,3,0.240483,0.4785
repeat,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,ba,target-b,3,0.247150,0.4765
repeat,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,ab,target-a,3,0.071533,0.4265
repeat,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,ab,target-b,3,0.076492,0.8468
