epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1777983261518236250,4.22,849.3,62156,8,4.88,6.01,0,012,45.9,139
1777983263545841744,7.04,850.2,62156,8,4.94,6.09,0,012,46.4,139
1777983265573409648,2.71,849.9,62156,8,4.98,6.14,0,012,47,139
1777983267602096700,2.54,849.1,62156,8,5.02,6.19,0,012,47.9,139
1777983269631147160,3.02,849.7,62156,8,5.06,6.24,0,012,48.4,139
1777983271660221676,5.80,849.7,62156,8,5.11,6.3,0,012,48.9,139
1777983273688004270,17.01,850.5,62156,8,5.17,6.38,0,012,49.7,139
1777983275717362545,1.77,850.8,62156,8,5.22,6.44,0,012,50.2,139
1777983277745711716,5.58,850.1,62156,8,5.26,6.49,0,012,50.7,139
1777983279774574927,4.12,850.2,62156,8,5.31,6.55,0,012,51.3,139
1777983281802708096,2.70,849.9,62156,8,5.32,6.56,0,012,51.4,139
1777983283830754252,4.83,850.2,62156,8,5.32,6.56,0,012,51.7,139
1777983285858756005,1.68,849.9,62156,8,5.32,6.56,0,012,51.7,139
1777983287886807882,0.85,849.9,62156,8,5.32,6.56,0,012,51.7,139
1777983289914205178,0.79,849.7,62156,8,5.33,6.56,0,012,51.7,139
1777983291941720604,1.59,849.4,62156,8,5.33,6.56,0,012,51.7,139
1777983293971432128,4.64,850.1,62156,8,5.33,6.56,0,012,51.7,139
1777983295999319618,1.18,849.7,62156,8,5.33,6.56,0,012,51.7,139
177798329827953170,0.77,849.7,62156,8,5.33,6.56,0,012,51.7,139
177798330056318121,0.79,850.9,62156,8,5.33,6.56,0,012,51.7,139
177798330284397449,0.78,850.1,62156,8,5.33,6.57,0,012,51.7,139
