epoch_ms,component,cpu_pct,mem_mb
1787386944000,exeris-e2e-saga-postgres,4.33,125.10
1787386944000,exeris-e2e-saga-payment-gateway,7.93,14.52
1787386944000,target-jvm,3.67,
1787386949000,exeris-e2e-saga-postgres,0.01,125.10
1787386949000,exeris-e2e-saga-payment-gateway,8.02,14.52
1787386949000,target-jvm,3.00,
1787386954000,exeris-e2e-saga-postgres,0.01,125.10
1787386954000,exeris-e2e-saga-payment-gateway,7.97,14.76
1787386954000,target-jvm,3.33,
1787386959000,exeris-e2e-saga-postgres,4.40,125.10
1787386959000,exeris-e2e-saga-payment-gateway,4.31,20.66
1787386959000,target-jvm,3.00,
1787386964000,exeris-e2e-saga-postgres,8.59,125.60
1787386964000,exeris-e2e-saga-payment-gateway,7.93,14.57
1787386964000,target-jvm,3.67,
1787386969000,exeris-e2e-saga-postgres,7.52,123.90
1787386969000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386969000,target-jvm,3.33,
1787386974000,exeris-e2e-saga-postgres,4.22,123.60
1787386974000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386974000,target-jvm,3.33,
1787386979000,exeris-e2e-saga-postgres,8.05,124.10
1787386979000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386979000,target-jvm,3.33,
1787386984000,exeris-e2e-saga-postgres,9.35,123.60
1787386984000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386984000,target-jvm,3.33,
1787386989000,exeris-e2e-saga-postgres,4.24,123.60
1787386989000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386989000,target-jvm,3.00,
1787386994000,exeris-e2e-saga-postgres,8.65,123.60
1787386994000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386994000,target-jvm,3.67,
1787386999000,exeris-e2e-saga-postgres,4.23,123.60
1787386999000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386999000,target-jvm,3.00,
1787387004000,exeris-e2e-saga-postgres,8.62,123.80
