epoch_ms,utime_ticks,stime_ticks,rss_kb,vmsize_kb,threads,vmhwm_kb,smaps_rss_kb,cgroup_mem_kb
1777982102261744608,2588,205,749808,24130256,92,750992,750992,33758928
1777982103295883051,2592,206,749808,24130256,92,751000,751000,33175340
1777982104330010353,2596,207,749808,24130256,92,751008,751008,32603500
1777982105364783400,2600,207,749808,24130256,92,751012,751016,32595908
1777982106399970549,2608,207,749936,24130256,92,751044,751044,32612244
1777982107435109398,2611,208,749936,24130256,92,751048,751048,32613636
1777982108470205818,2616,208,750192,24130256,92,751232,751232,32672348
1777982109504668096,2619,209,750320,24130256,92,751376,751376,31659940
1777982110538797231,2622,209,750448,24130256,92,751536,751536,32383992
1777982111572922480,2624,210,750576,24130256,92,751620,751620,33081620
1777982112606545742,2629,211,750576,24130256,92,751700,751700,33182508
1777982113639926612,2635,212,750576,24130256,92,751768,751768,33184504
1777982114674416490,2639,212,750576,24130256,92,751772,751776,32563428
1777982115708407478,2642,213,750704,24130256,92,751796,751796,32556580
1777982116742052792,2649,214,750704,24130256,92,751840,751840,32565264
1777982117775690921,2653,215,750704,24130256,92,751872,751872,32557768
1777982118809751770,2657,215,750704,24130256,92,751912,751912,32610824
1777982119843960444,2659,216,750704,24130256,92,751928,751928,32612992
1777982120878489165,2668,218,750960,24130256,92,752084,752084,31704036
1777982121912322369,2680,218,751088,24130256,92,752388,752392,31700260
1777982122947929131,2685,219,751216,24130256,92,752428,752428,31695008
1777982123982185323,2687,219,751216,24130256,92,752452,752452,32620288
177798212516381775,2695,220,751216,24130256,92,752492,752492,33115584
177798212650946423,2705,221,751344,24130256,92,752632,752632,33108372
177798212785645281,2720,221,751472,24130256,92,752712,752712,33116320
1777982128121364543,2722,223,751472,24130256,92,752724,752724,32484144
1777982129156743069,2726,223,751472,24130256,92,752760,752760,32490524
1777982130191892398,2729,224,751600,24130256,92,752780,752780,32812480
1777982131225923060,2731,224,751728,24130256,92,752796,752796,32832704
1777982132260933430,2734,225,751856,24130256,92,752824,752824,32019664
1777982133295503518,2738,225,751856,24130256,92,752936,752940,32231776
1777982134330364870,2742,226,751984,24130256,92,753056,753060,32502540
1777982135365398813,2751,226,751984,24130256,92,753164,753164,32856972
1777982136399603400,2752,227,751984,24130256,92,753184,753184,32637204
1777982137433044662,2755,227,751984,24130256,92,753212,753212,32342564
1777982138468785605,2757,228,751984,24130256,92,753224,753224,32275928
1777982139503378796,2758,228,751984,24130256,92,753228,753228,32184480
1777982140537152989,2759,228,751984,24130256,92,753240,753240,32327764
1777982141572953463,2760,229,751984,24130256,92,753256,753256,32350288
1777982142606402079,2761,229,751984,24130256,92,753256,753256,32209552
1777982143640154773,2761,229,751984,24130256,92,753260,753260,32236508
1777982144674285832,2762,229,751984,24130256,92,753260,753260,32272032
1777982145707845425,2764,229,751984,24130256,92,753264,753264,32237756
1777982146741585385,2764,229,751984,24130256,92,753264,753264,32249360
1777982147775616518,2765,229,751984,24130256,92,753264,753264,32260096
1777982148810050743,2765,229,751984,24130256,92,753304,753304,32306456
1777982149843517152,2765,230,751984,24130256,92,753304,753304,32329604
1777982150877251552,2766,230,751984,24130256,92,753316,753316,32516380
1777982151911691707,2766,230,751984,24130256,92,753316,753316,33424520
1777982152945489986,2767,230,752112,24130256,92,753384,753384,33904800
1777982153979411104,2767,230,752112,24130256,92,753384,753384,33909404
177798215514147132,2769,230,752112,24130256,92,753384,753384,33908380
177798215648007586,2769,230,752112,24130256,92,753388,753388,33254368
177798215782572424,2769,230,752112,24130256,92,753388,753388,33270744
1777982158116667507,2770,230,752112,24130256,92,753428,753428,33274760
